,text,place,long,lat,clean_text,GPE,FAC,ORG,LOC
42,I actually like to cuddle so i can't do $$ for sex cuz they want you out the second you cum lol,fbd6d2f5a4e4a15e,-121.81726299999998,37.703905999999996,I actually like to cuddle so i cant do  for sex cuz they want you out the second you cum lol,[],[],[],[]
43,"Just posted a photo @ San Leandro, California https://t.co/7EIk2T0Gdd",,-122.15299999999999,37.7107,"Just posted a photo at  San Leandro, California","[San Leandro, California]",[],[],[]
44, #Happiness is sitting in the parking lot costco with #wifey enjoying 3 types of #poke #limu… https://t.co/wcnivuVUZe, Richmond; CA,-122.3206456,37.89849636, Happiness is sitting in the parking lot costco with wifey enjoying 3 types of poke limu,[],[],[],[]
45,"Keep your eyes on the long term goal.
Obstacles will not stop you. 
.
.
.
#tobiasyoungfitness… https://t.co/yHji1NtlRq",,-121.71,37.9353,Keep your eyes on the long term goal.Obstacles will not stop you. ...tobiasyoungfitness,[],[],[],[]
46,"Lol nah jk,  I miss you tooo",ab2f2fac83aa388d,-122.22590500000001,37.773721,"Lol nah jk,  I miss you tooo",[],[],[],[]
47, JUST IN: Las Vegas police respond to shooting at airport that appears to be related to domestic violence. https://t.co/CBj01snzcd, San Jose; CA,-121.89176640000001,37.3324843, JUST IN: Las Vegas police respond to shooting at airport that appears to be related to domestic violence.,[Las Vegas],[],[],[]
48,Okay. My stomach feels not so good.,3b0eea538598dc42,-122.621233,38.112624,Okay. My stomach feels not so good.,[],[],[],[]
49," I'm at @GoldilocksSsf in San Jose, CA https://t.co/OasziCAiPe", San Jose; CA,-121.811844,37.31058955," Im at at GoldilocksSsf in San Jose, CA","[San Jose, CA]",[],[],[]
50," #me #prisma photo original by GeoffreyLippertPhotography @ San Francisco, California https://t.co/mBmRGA8xLD", San Francisco; CA,-122.41799999999999,37.775," me prisma photo original by GeoffreyLippertPhotography at  San Francisco, California","[San Francisco, California]",[],[],[]
51,Free Coffee courtesy of ERA! @CharlieYoungERA @ASmarterERA #ICSF http://t.co/wTxdZc39Pd,5a110d312052166f,-122.41072700000001,37.785432,Free Coffee courtesy of ERA! at CharlieYoungERA at ASmarterERA ICSF,[],[],"[ERA, ASmarterERA ICSF]",[]
52, Mango habanero 🌶 🔥🌮 @ Buffalo Wild Wings https://t.co/L7KQ2qOkOj, San Jose; CA,-121.85675,37.25073, Mango habanero   at  Buffalo Wild Wings,[],[],[Buffalo Wild Wings],[]
53,"When the 📹 makes you 🕖 just like a 🙀, thats amore!",,-122.48223999999999,37.796741,"When the  makes you  just like a , thats amore!",[],[],[],[]
56,It’s a Jungle out there. http://t.co/nByykKhBVs,6a4364ea6f987c10,-122.113335,37.400837,Its a Jungle out there.,[],[],[],[]
57, This is what's up!!! Invited to a wine dinner event at Lungomare at Jack London… https://t.co/cxlAAlMBWl, Oakland; CA,-122.27738959999999,37.79459824, This is whats up!!! Invited to a wine dinner event at Lungomare at Jack London,[],[Jack London],[Lungomare],[]
58,"#expectations vs #reality @ Martinez, California https://t.co/q6sScPKkDW",,-122.12,38.0006,"expectations vs reality at  Martinez, California","[Martinez, California]",[],[],[]
59,When my ma starts yellin i'm jus like http://t.co/b03bN5u3b0,50df1c2f85d2654d,-121.99268500000001,38.343315000000004,When my ma starts yellin im jus like,[],[],[],[]
60,If i catch you niggas creeping ima beat up ya friendsssd,712d61ba26321517,-122.255521,38.02098,If i catch you niggas creeping ima beat up ya friendsssd,[],[],[],[]
61, excited to takeover @hushpuppies IG today as i show you around some of my very favorite spots… https://t.co/Nn83ItwNJB, San Francisco; CA,-122.4182267,37.787665399999995, excited to takeover at hushpuppies IG today as i show you around some of my very favorite spots,[],[],[],[]
62,40s 50s Corduroy Jacket for @acurrentaffair March 3rd ❤️❤️❤️ please go to my bio click on link… https://t.co/nmrX6N0hbc,"Richmond, CA",-122.34777779999999,37.93583333,40s 50s Corduroy Jacket for at acurrentaffair March 3rd  please go to my bio click on link,[],[],[],[]
63,I have this dam ear buzzing on my ear 😔😒,8ad73577c2722154,-121.596406,37.026762,I have this dam ear buzzing on my ear ,[],[],[],[]
64, #FashionFail 👎🏽 @ Denny's https://t.co/tH1sQROoi2, Emeryville; CA,-122.29587509999999,37.83853, FashionFail  at  Dennys,[],[],[],[]
65,Drinking an Extremis by @moonrakerbeer @ Imperiale Beer Cafe — https://t.co/Xs6QhREZTZ #photo,,-121.73299999999999,37.9602,Drinking an Extremis by at moonrakerbeer at  Imperiale Beer Cafe  photo,[],[],[Imperiale Beer Cafe],[]
66,@chose1prod was like aye stand under then light... then he sent me this!!! #shotbycchosw @… https://t.co/fC7CmwFdcA,,-122.271,37.8044,at chose1prod was like aye stand under then light... then he sent me this!!! shotbycchosw at ,[],[],[],[]
67,Not a day goes by that I dont think of it,fbd6d2f5a4e4a15e,-121.595773,37.032084000000005,Not a day goes by that I dont think of it,[],[],[],[]
68,"#ovscoots. @ San Francisco, California https://t.co/Q2OJnst4YD",,-122.41799999999999,37.775,"ovscoots. at  San Francisco, California","[San Francisco, California]",[],[],[]
69,I'm getting used to the idea of you.,fbd6d2f5a4e4a15e,-121.564504,37.020961,Im getting used to the idea of you.,[],[],[],[]
70,"When the 💐 hits your ⌚ like a big ㊙, that's amore!","San Francisco, CA",-122.48223999999999,37.796741,"When the  hits your  like a big , thats amore!",[],[],[],[]
71,"Im at National Holistic Institute in Emeryville, CA https://t.co/e42eqzrXCL",,-122.2879548,37.84215016,"Im at National Holistic Institute in Emeryville, CA","[Emeryville, CA]",[],[National Holistic Institute],[]
72,@DiamondChardae GoodMorning 🌺☀️,7d62cffe6f98f349,-121.87128799999999,37.343973,at DiamondChardae GoodMorning ,[],[],[],[]
73, @SODMG listen to fifty song sound soooooo lil kidish, Vacaville; CA,-121.9464,38.3756599, at SODMG listen to fifty song sound soooooo lil kidish,[],[],[],[]
74,"A little bit more about last night! 

💋💋💋 #ThatsHowIGetDown #ILoveMe… https://t.co/B34scLEetE",,-122.20260929999999,37.75026810000001,A little bit more about last night!  ThatsHowIGetDown ILoveMe,[],[],[],[]
75,"@ClassACraig nah, I'll still be lighter😂",7d62cffe6f98f349,-121.799149,37.240973,"at ClassACraig nah, Ill still be lighter",[],[],[],[]
76,"BAG 💰🏁 is officially dropped and Out now on spotify . Tune in and drop a 🔥 or 🌎 if you on the road gettin to that bag 💪🏽🌎💰 

Featuring 🎤: _cgocrazy
Produced 🎹: adeyemi415
Cover Art 🖼:… https://t.co/N0ny3PHIjq","Oakland, CA",-122.2573074,37.82323847,BAG  is officially dropped and Out now on spotify . Tune in and drop a  or  if you on the road gettin to that bag  Featuring : cgocrazyProduced : adeyemi415Cover Art :,[],[],[],[]
77,Going straight for ya thighs like the cake you ate,7d62cffe6f98f349,-121.89404099999999,37.272641,Going straight for ya thighs like the cake you ate,[],[],[],[]
78, #415 #sf #commute @ Mission High School https://t.co/SPL1TjqlBn, San Francisco; CA,-122.42732749999999,37.761499799999996, 415 sf commute at  Mission High School,[],[Mission High School],[],[]
79,Wow im so fat look at my rolls I wish I was skinnier * goes to bathroom and sticks finger in mouth http://t.co/KDhdnXA5bO,ab2f2fac83aa388d,-122.221382,37.786313,Wow im so fat look at my rolls I wish I was skinnier  goes to bathroom and sticks finger in mouth,[],[],[],[]
80, 1900 Washington Street https://t.co/M2aXV8Q5Wr, San Francisco; CA,-122.42483999999999,37.792970000000004, 1900 Washington Street,[],[],[],[]
82,Good morning team!!! #motivationalspeaker #MotivationalMinute #PrayMotion #LiveOutYourDreams… https://t.co/Ujll4ihQ8h,,-122.26694440000001,38.03305556,Good morning team!!! motivationalspeaker MotivationalMinute PrayMotion LiveOutYourDreams,[],[],[],[]
83,If I ask you if you succ dicc and you say pineapples 😂😂👋 you cut 🔪 fucc out my room,490bdb082950484f,-122.15783799999998,37.472976,If I ask you if you succ dicc and you say pineapples  you cut  fucc out my room,[],[],[],[]
84,"Why not.  #tacotuesday (at @TacoBell in Santa Clara, CA) https://t.co/cAwveonEPZ",,-121.9357852,37.3452407,"Why not.  tacotuesday at at TacoBell in Santa Clara, CA","[Santa Clara, CA]",[],[TacoBell],[]
85,That nap was bomb but I am so starving now,ebd427773b31cb21,-121.888547,38.034974,That nap was bomb but I am so starving now,[],[],[],[]
86, Just posted a photo @ Bay Bridge https://t.co/eBndSAtaFN, California; USA,-122.35835449999999,37.81510329, Just posted a photo at  Bay Bridge,[],[Bay Bridge],[],[]
87,We'll make love into the night,e41805d7248dbf1e,-120.96379099999999,37.670082,Well make love into the night,[],[],[],[]
88,Just kidding wtf my bday in September 😂😂🍰,5a110d312052166f,-122.417027,37.766071999999994,Just kidding wtf my bday in September ,[],[],[],[]
89,Someone on vine told me I listen to the coolest music but even if I did I don't know how they would know that,432daa3153c5fef9,-122.28059499999999,37.538771999999994,Someone on vine told me I listen to the coolest music but even if I did I dont know how they would know that,[],[],[],[]
90,"I'm at @DollarTree in Daly City, CA https://t.co/bQjU3wvGEC https://t.co/919haSllQt","Daly City, CA",-122.4145973,37.70676506,"Im at at DollarTree in Daly City, CA","[Daly City, CA]",[],[DollarTree],[]
91,@tbossyyy this is more like it haha #TweetYourFriendshipInAPicture http://t.co/gDoaHSMfig,bcb6b4eebbf9b55c,-121.154234,37.464833,at tbossyyy this is more like it haha TweetYourFriendshipInAPicture,[],[],[],[]
92,@warrenlrich Week 15 when they go to New Orleans.,4bbbc7799291b1cd,-121.90296799999999,36.970594,at warrenlrich Week 15 when they go to New Orleans.,[New Orleans],[],[],[]
93,"☕️ (at @CoffeeCultures1 in San Francisco, Calif) https://t.co/ABLBlf6uDW https://t.co/epQ028gUJw",,-122.4147169,37.77608919," at at CoffeeCultures1 in San Francisco, Calif","[San Francisco, Calif]",[],[],[]
94, Morning showers are great😍, Merced; CA,-120.46387279999999,37.29942717, Morning showers are great,[],[],[],[]
95,Napa CA Sat May 11th PM Forecast: TONIGHT Mostly Cloudy Lo 50 SUNDAY Partly Cloudy Hi 71,"California, USA",-122.2917,38.3929,Napa CA Sat May 11th PM Forecast: TONIGHT Mostly Cloudy Lo 50 SUNDAY Partly Cloudy Hi 71,"[Napa, CA]",[],[],[]
96, #sunrise https://t.co/Ajcog5CXFA @thewharfsf #W2WP u.s.departmentofdefense #ship #architecture #arch @… https://t.co/KFpChVdJEa, San Francisco; CA,-122.41065619999999,37.80894119, sunrise at thewharfsf W2WP u.s.departmentofdefense ship architecture arch at ,[],[],[],[]
97,Month off and first day back post surgery. Missed the 600 club by 8. 😂 Closest I’ve gotten in a… https://t.co/14Q4ET91QR,,-121.73706240000001,37.94602105,Month off and first day back post surgery. Missed the 600 club by 8.  Closest Ive gotten in a,[],[],[],[]
98,Lunch break is over @racesonoma. Time to clock back in and get to work! @indycar… https://t.co/SU0iheNvo7,"California, USA",-122.45482290000001,38.16051563,Lunch break is over at racesonoma. Time to clock back in and get to work! at indycar,[],[],[],[]
99,Yes let's let the hose run while we wash our cars in the middle of the afternoon. WE ARE IN A DROUGHT PEOPLE #smh,7d62cffe6f98f349,-121.855635,37.247521,Yes lets let the hose run while we wash our cars in the middle of the afternoon. WE ARE IN A DROUGHT PEOPLE smh,[],[],[],[]
100, Gone fishing my little fish on foot is surrounded by amazing artworks made by my fellow… https://t.co/WbA732TqEW, Redwood City; CA,-122.22653000000001,37.48365, Gone fishing my little fish on foot is surrounded by amazing artworks made by my fellow,[],[],[],[]
101,"眼训…… (@ San Francisco International Airport - @flysfo in San Francisco, CA) https://t.co/5UVgWDwi6k",,-122.3848483,37.61730651,"眼训 at  San Francisco International Airport - at flysfo in San Francisco, CA","[San Francisco, CA]",[],[],[]
102,"current weather in Santa Rosa: clear sky, 58°F
87% humidity, wind 3mph, pressure 1014mb","Santa Rosa, CA",-122.71,38.44,"current weather in Santa Rosa: clear sky, 58F87 humidity, wind 3mph, pressure 1014mb",[Santa Rosa],[],[],[]
103,NorCal Bay Area got them hips loosen up yesterday! Had an amazing time getting sexy for three… https://t.co/LywIFhQIyT,,-121.94102,37.48348,NorCal Bay Area got them hips loosen up yesterday! Had an amazing time getting sexy for three,[],[],[],[NorCal Bay Area]
104,"me, amanda, and monet.
#adayinsanfrancisco #meandmybaby #mothersday #artinthepark @deyoungmuseum #goldengatepark @ de Young Museum https://t.co/mYI9zewB2s","San Francisco, CA",-122.4684435,37.77136676,"me, amanda, and monet.adayinsanfrancisco meandmybaby mothersday artinthepark at deyoungmuseum goldengatepark at  de Young Museum",[],[],[],[]
105,@kittystryker Hey! Which photo? They're technically licensed for SF Weekly but I have more shots I could give you jf you know which one!,5a110d312052166f,-122.405693,37.783339,at kittystryker Hey! Which photo? Theyre technically licensed for SF Weekly but I have more shots I could give you jf you know which one!,[],[],[SF Weekly],[]
106,Hatchet is coming along. @ The Crucible https://t.co/6eN8eELH0u,,-122.29064,37.804959999999994,Hatchet is coming along. at  The Crucible,[],[],[],[]
107, This time last week 🇱🇷🌞🚴‍♀️ San Fran blues 😞 @ San Francisco (golden… https://t.co/t96gabO42c, San Rafael; CA,-122.5104966,37.96383493, This time last week  San Fran blues  at  San Francisco golden,"[San Fran, San Francisco golden]",[],[],[]
109, Just got my shipment in!!!!! Catalogs now available in English AND ESPAÑOL!!! If you'd like a… https://t.co/awiuohWZZd, Ceres; CA,-120.95700000000001,37.6013, Just got my shipment in!!!!! Catalogs now available in English AND ESPAÑOL!!! If youd like a,[],[],[],[]
110, Up to 46% Off Gel Manicures https://t.co/GPvYXrNiPN, San Francisco; CA,-122.464,37.785, Up to 46 Off Gel Manicures,[],[],[],[]
111,"I THINK THEYRE IN THE IDT CAMP , ,,, SHIT ON ME",ed0a823456907b4c,-122.176245,37.424946000000006,"I THINK THEYRE IN THE IDT CAMP , ,,, SHIT ON ME",[],[],[],[]
112,"Pentatonix concert (at @OracleArena in Oakland, CA) https://t.co/APFwdDpaEG","Oakland, CA",-122.20288070000001,37.75054836,"Pentatonix concert at at OracleArena in Oakland, CA","[Oakland, CA]",[],[Pentatonix],[]
113,Artists Get discovered+look attractive+booked @gigstartweets pitches to an entertained audience @tiesv @rajeshsawhney http://t.co/cX76ewO0kG,1ba281f723e77716,-121.979272,37.406496999999995,Artists Get discoveredlook attractivebooked at gigstartweets pitches to an entertained audience at tiesv at rajeshsawhney,[],[],[],[]
114,"I'm at @UnionSquareSf in San Francisco, CA https://t.co/8Azu95t5Wg","San Francisco, CA",-122.4075007,37.787933,"Im at at UnionSquareSf in San Francisco, CA","[San Francisco, CA]",[],[UnionSquareSf],[]
115,What kalin sent me yesterday morning ❤️ http://t.co/kdumZABe4A,d49a48f3c233112c,-121.692548,37.91932,What kalin sent me yesterday morning ,[],[],[],[]
116,"I hated marketing, but I loved the people in in 😭",61f1d75eb5064808,-122.17288799999999,37.721561,"I hated marketing, but I loved the people in in ",[],[],[],[]
117,Now that time up n I want my shit back,7d62cffe6f98f349,-121.824853,37.342746999999996,Now that time up n I want my shit back,[],[],[],[]
118," Accident, shoulder blocked in #Martinez on I-680 NB at Waterfront Rd #BayArea #Traffic https://t.co/pmlOhZdgyh", Martinez; CA,-122.1121,38.02548," Accident, shoulder blocked in Martinez on I-680 NB at Waterfront Rd BayArea Traffic",[Martinez],"[I-680 NB, Waterfront Rd]",[],[]
119,"Im at Inner Richmond District in San Francisco, CA https://t.co/Zeh5LuUBrD",,-122.46127279999999,37.77897670000001,"Im at Inner Richmond District in San Francisco, CA","[San Francisco, CA]",[],[],[Inner Richmond District]
120,"""@_k1ngjhvsy: “@RecklessTae100: Phone dien” thn charge it nigga"" shuutup I will",6da7626e4e9e26ba,-122.033419,38.250553000000004,at k1ngjhvsy: at RecklessTae100: Phone dien thn charge it nigga shuutup I will,[],[],[],[]
121,@_Bash21 happy birthday bro,fbd6d2f5a4e4a15e,-121.93956200000001,37.475685999999996,at Bash21 happy birthday bro,[],[],[],[]
122," Stay comfortable &amp; You will get passed up, Keep moving for Jesus. Lord Jesus Bless your people… https://t.co/TXykYR2NSs", Fairfield; CA,-122.14354740000002,38.21653654," Stay comfortable amp; You will get passed up, Keep moving for Jesus. Lord Jesus Bless your people",[],[],[],[]
123,"#LOL 🤣 @ Oakland, California https://t.co/cSX1dnMaij","Oakland, CA",-122.2721,37.8029,"LOL  at  Oakland, California","[Oakland, California]",[],[],[]
124, Finally back in Santa Cruz!  ...time to check how many spiders my closet has accumulated., Live Oak; CA,-121.9859763,36.97172614, Finally back in Santa Cruz!  ...time to check how many spiders my closet has accumulated.,[Santa Cruz],[],[],[]
125, Perm wrapping getting those perm ops complete! #BeautySchoolLife @TSPA_SanJose @ The Salon… https://t.co/zemlSEZcgn, San Jose; CA,-121.9906822,37.2926122, Perm wrapping getting those perm ops complete! BeautySchoolLife at TSPASanJose at  The Salon,[],[],[],[]
126,"FIRST FRIDAY WATCH PARTY! @ Oakland, California https://t.co/gKkbMdDtMX",,-122.271,37.8044,"FIRST FRIDAY WATCH PARTY! at  Oakland, California","[Oakland, California]",[],[],[]
127,"Im at Pottery Barn in Santa Clara, CA https://t.co/zMfLI3dpqg https://t.co/e7jSuTSdSk",,-121.94437679999999,37.32571217,"Im at Pottery Barn in Santa Clara, CA","[Santa Clara, CA]",[],[Pottery Barn],[]
128, #gvmsvikings NEED YOU!  We need volunteers for Challenge Day 10/25-10/27!  Please email… https://t.co/SQsiwHqbfh, Fairfield; CA,-122.1379767,38.17490894, gvmsvikings NEED YOU!  We need volunteers for Challenge Day 1025-1027!  Please email,[],[],[],[]
129,"@UCBerkeley @Stanford Stanford you’re so poor now, so poor. Slander me once Cal, twice, three times? Never Stanford, but once, right? ;)","University of California, Berkeley",-122.2601686,37.8678384,"at UCBerkeley at Stanford Stanford youre so poor now, so poor. Slander me once Cal, twice, three times? Never Stanford, but once, right? ;",[],[],"[Stanford, Cal, Stanford]",[]
130,"//@nubko//
#35mm @ Golden Gate Park https://t.co/jLe0q4xkyN",,-122.47816090000002,37.76874717,at nubko35mm at  Golden Gate Park,[],[],[],[]
131,Today still feels like Monday. Save me.,5a110d312052166f,-122.40378700000001,37.793803999999994,Today still feels like Monday. Save me.,[],[],[],[]
132,New Phone Case lmfao 😂😂😂,ab2a6a25454fda97,-121.757074,36.914753000000005,New Phone Case lmfao ,[],[],[],[]
133,"47/365: Ready Player 3. #tannerld365 @ Redwood City, California https://t.co/h5P3s3NEMO",,-122.2361111,37.48277778,"47365: Ready Player 3. tannerld365 at  Redwood City, California","[Redwood City, California]",[],[],[]
134,"Small dog walk. @ Cliff House, San Francisco https://t.co/jHfgrgMxkB",,-122.514,37.7784,"Small dog walk. at  Cliff House, San Francisco",[San Francisco],[Cliff House],[],[]
135,Still feeling the tap handles therakepub @ Admiral Maltings https://t.co/IvRqUNnFiM,,-122.30093470000001,37.78238968,Still feeling the tap handles therakepub at  Admiral Maltings,[],[Admiral Maltings],[],[]
136,Added some depth with lowlights. #hairstylist #balayage #balayagehighlights #novasalonsystems… https://t.co/5iZEwg9XNt,,-122.28976000000002,37.8305999,Added some depth with lowlights. hairstylist balayage balayagehighlights novasalonsystems,[],[],[],[]
